Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
607,60,80,15693,False,3.5,0,31/05/2025 11:41:04,False,0,1,93,74.2,9414,,3.4,102,31/05/2025 14:17:53,False,0,1,3818148C,93,2,14,GF,60/80,1022,1022,Perdix AI
Time (sec),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
0,0,0,0,0.7,0.1,0.57,0,0,0,0,21,False,True,0,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
2,0,0,0,0.7,0.1,0.57,0,0,0,0,21,False,True,0,0,0,0,199,3.48,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
4,1.6,0,0,0.7,0.1,0.57,0,0,0,0,21,False,True,0,0,0,0,200,3.48,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
6,2.2,0,1,0.7,0.1,0.57,0,0,0,0,21,False,True,0,0,0,0,199,3.48,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
8,2.5,0,1,0.7,0.1,0.57,0,0,0,0,21,False,True,0,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
10,2.5,0,1,0.7,0.1,0.57,0,99,0,0,21,False,True,0,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
12,2.8,0,1,0.7,0.1,0.57,0,99,0,0,21,False,True,0,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
14,3.1,0,1,0.7,0.1,0.57,0,99,0,0,21,False,True,0,0,0,0,200,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
16,3.6,0,1,0.7,0.1,0.57,0,99,0,0,21,False,True,0,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
18,4.1,0,1,0.7,0.1,0.57,0,99,0,0,21,False,True,0,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
20,4.5,0,1,0.7,0.1,0.57,0,99,0,0,21,False,True,0,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
22,5.2,0,1,0.7,0.1,0.57,0,99,0,0,21,False,True,0,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
24,5.9,0,1,0.7,0.1,0.57,0,99,0,0,21,False,True,0,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
26,6.5,0,1,0.7,0.1,0.57,0,99,0,0,21,False,True,0,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
28,7.2,0,1,0.7,0.1,0.57,0,99,0,0,21,False,True,0,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
30,8,0,1,0.7,0.1,0.57,0,99,0,0,21,False,True,0,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
32,8.7,0,1,0.7,0.1,0.57,0,99,0,0,21,False,True,0,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
34,9.5,0,1,0.7,0.1,0.57,0,99,0,0,20,False,True,0,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
36,10.2,0,1,0.7,0.1,0.57,0,99,0,0,20,False,True,0,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
38,11.1,0,1,0.7,0.1,0.57,0,99,0,0,20,False,True,0,0,0,0,199,3.48,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
40,11.9,0,1,0.7,0.1,0.57,0,99,0,0,20,False,True,0,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
42,12.7,0,1,0.7,0.1,0.57,0,99,0,0,20,False,True,0,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
44,13.7,0,2,0.7,0.1,0.57,0,99,0,0,20,False,True,0,0,0,0,200,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
46,14.5,0,2,0.7,0.1,0.57,0,99,0,0,20,False,True,0,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
